,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
16,기아 올 뉴 K3 1.6  프레스티지,차량번호 171나7932,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179669&gubun=K,2018.06 (19년형),"114,156 km",가솔린,"1,598 cc (123마력)",진회색,"60개월 / 100,000km","1,099만원",54,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,7,"5,470,300",7,"9,481,799"
17,르노삼성 더 뉴 QM6  2.0 LPe 2WD LE,차량번호 315조8345,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182727&gubun=K,2019.09 (20년형),"95,694 km",LPG,"1,998 cc (140마력)",진회색,"60개월 / 100,000km","1,780만원",70,,,,,,,,,,,등록,1,0,0,0,0,0,0,1,"5,129,000"
18,르노삼성 더 뉴 QM6  2.0 가솔린 2WD RE 시그니처,차량번호 185가5947,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182728&gubun=K,2020.09,"33,314 km",가솔린,"1,997 cc (144마력)",진회색,"60개월 / 100,000km","1,999만원",66,,,,,,,,,,,등록,1,1,0,0,0,2,"25,229,999",1,0
19,현대 그랜저HG 240  모던,차량번호 61주3695,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182863&gubun=K,2014.07 (15년형),"111,120 km",가솔린,"2,359 cc (190마력)",검정색,만료,899만원,30,0,0,0,1,1,1,0,1,0,1,등록,2,0,0,0,0,7,"11,189,443",4,"6,875,373"
20,르노삼성 더 뉴 QM6  2.0 가솔린 2WD RE 시그니처,차량번호 185가5947,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182728&gubun=K,2020.09,"33,314 km",가솔린,"1,997 cc (144마력)",진회색,"60개월 / 100,000km","1,999만원",66,,,,,,,,,,,등록,1,1,0,0,0,2,"25,229,999",1,0
21,현대 그랜저HG 240  모던,차량번호 61주3695,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182863&gubun=K,2014.07 (15년형),"111,120 km",가솔린,"2,359 cc (190마력)",검정색,만료,899만원,30,0,0,0,1,1,1,0,1,0,1,등록,2,0,0,0,0,7,"11,189,443",4,"6,875,373"
22,현대 그랜저HG 240  모던,차량번호 11나5144,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182869&gubun=K,2013.08,"119,169 km",가솔린,"2,359 cc (201마력)",검정색,만료,850만원,28,,,,,,,,,,,등록,,,,,,,,,
23,기아 니로 1.6 HEV 럭셔리,차량번호 03너8529,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182706&gubun=K,2017.09,"45,679 km",가솔린 하이브리드,"1,580 cc (141마력)",검정색,만료,"1,650만원",66,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
24,쌍용 뷰티풀 코란도 1.6 디젤 2WD C7,차량번호 183구3820,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182575&gubun=K,2020.03,"54,205 km",디젤,"1,597 cc (136마력)",검정색,"60개월 / 100,000km","1,580만원",54,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,3,"15,894,079",1,"1,000,460"
25,기아 K7 프리미어 2.5 노블레스,차량번호 171루3577,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182572&gubun=K,2019.10 (20년형),"36,941 km",가솔린,"2,497 cc (198마력)",흰색,"60개월 / 100,000km","2,450만원",72,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,4,"19,037,420",2,"10,100,534"
26,기아 니로 1.6 HEV 프레스티지,차량번호 43더0701,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182573&gubun=K,2016.05,"174,000 km",가솔린 하이브리드,"1,580 cc (141마력)",진청색,만료,"1,499만원",55,0,0,0,0,0,1,0,1,0,0,등록,,,,,,,,,
27,기아 더 뉴 K7 2.4 프레스티지 스페셜,차량번호 50수4730,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182570&gubun=K,2014.03,"92,105 km",가솔린,"2,359 cc (201마력)",검정색,만료,820만원,26,,,,,,,,,,,등록,6,1,0,0,0,4,"24,917,420",3,"2,158,970"
28,현대 베뉴 1.6  스마트,차량번호 258모5598,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182553&gubun=K,2020.09,"30,418 km",가솔린,"1,598 cc ()",흰색,"60개월 / 100,000km","1,850만원",125,,,,,,,,,,,등록,1,0,0,0,0,0,0,0,0
29,현대 i30 PD 1.4 터보  스타일,차량번호 305부9165,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182549&gubun=K,2017.07 (18년형),"148,614 km",가솔린,"1,353 cc (140마력)",은색투톤,만료,930만원,49,,,,,,,,,,,등록,5,0,0,0,0,0,0,3,"1,539,249"
30,현대 더 뉴 그랜저 2.5 프리미엄 초이스,차량번호 333부1747,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180246&gubun=K,2020.10 (21년형),"41,401 km",가솔린,"2,497 cc (198마력)",흰색,정보없음,"2,599만원",77,,,,,,,,,,,등록,1,0,0,0,0,1,"8,424,280",1,0
31,현대 그랜저HG 300 LPi 모던,차량번호 23수2873,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182701&gubun=K,2014.10 (15년형),"132,231 km",LPG,"2,999 cc (235마력)",검정색,만료,899만원,준비중,,,,,,,,,,,등록,7,0,0,0,0,6,"9,912,509",4,"4,382,218"
32,기아 모하비 3.0 디젤 4WD KV300 최고급형,차량번호 69라6191,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167575&gubun=K,2009.06,"169,945 km",디젤,"2,959 cc (250마력)",검정색,만료,999만원,21,,,,,,,,,,,등록,3,0,0,0,0,5,"3,886,853",0,0
33,현대 그랜저IG 3.0 익스클루시브 스페셜,차량번호 06우8584,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181355&gubun=K,2017.01,"11,211 km",가솔린,"2,999 cc (266마력)",검정색,만료,"2,580만원",66,1,1,0,1,1,1,0,1,1,1,등록,2,0,0,0,0,2,"13,971,812",3,"8,227,302"
34,기아 셀토스 1.6 가솔린 터보 2WD 노블레스,차량번호 160버5451,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182125&gubun=K,2020.07,"11,850 km",가솔린,"1,591 cc (177마력)",진청색,"60개월 / 100,000km","2,080만원",83,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,0,0,0,0
35,현대 그랜저HG 240 모던,차량번호 15오4207,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182127&gubun=K,2015.01,"124,285 km",가솔린,"2,359 cc (190마력)",검정색,만료,"1,099만원",36,1,0,1,1,1,1,0,1,0,1,등록,3,0,0,0,0,5,"4,811,064",1,"5,530,899"
36,현대 아반떼AD 1.6 스타일,차량번호 234구2145,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182120&gubun=K,2015.09 (16년형),"126,499 km",가솔린,"1,591 cc (132마력)",흰색,만료,670만원,47,0,0,0,0,1,1,0,0,0,0,등록,2,0,0,0,0,2,"785,238",0,0
37,현대 쏘나타 2.0 프리미엄,차량번호 263보9289,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182121&gubun=K,2019.07 (20년형),"79,898 km",가솔린,"1,999 cc (160마력)",검정색,"60개월 / 100,000km","1,699만원",64,0,0,1,1,0,1,0,1,0,1,등록,3,0,0,0,0,1,"3,199,117",3,"3,492,954"
38,현대 코나 1.6 가솔린 터보 2WD 모던 아트,차량번호 310다5779,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182064&gubun=K,2018.10,"84,441 km",가솔린,"1,591 cc (177마력)",검정색,"60개월 / 100,000km","1,680만원",76,0,0,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,3,"1,471,082",2,"1,212,385"
39,제네시스 G70 2.2 디젤 어드밴스드,차량번호 181주1167,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181742&gubun=K,2018.02,"93,512 km",디젤,"2,199 cc (202마력)",검정색,"60개월 / 100,000km","1,899만원",47,0,0,1,1,1,1,0,1,0,1,등록,3,0,0,0,0,3,"3,273,126",5,"1,478,367"
40,현대 베뉴 1.6  스마트,차량번호 258모5598,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182553&gubun=K,2020.09,"30,418 km",가솔린,"1,598 cc ()",흰색,"60개월 / 100,000km","1,850만원",125,,,,,,,,,,,등록,1,0,0,0,0,0,0,0,0
41,현대 i30 PD 1.4 터보  스타일,차량번호 305부9165,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182549&gubun=K,2017.07 (18년형),"148,614 km",가솔린,"1,353 cc (140마력)",은색투톤,만료,930만원,49,,,,,,,,,,,등록,5,0,0,0,0,0,0,3,"1,539,249"
42,현대 더 뉴 그랜저 2.5 프리미엄 초이스,차량번호 333부1747,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180246&gubun=K,2020.10 (21년형),"41,401 km",가솔린,"2,497 cc (198마력)",흰색,정보없음,"2,599만원",77,,,,,,,,,,,등록,1,0,0,0,0,1,"8,424,280",1,0
43,현대 그랜저HG 300 LPi 모던,차량번호 23수2873,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182701&gubun=K,2014.10 (15년형),"132,231 km",LPG,"2,999 cc (235마력)",검정색,만료,899만원,준비중,,,,,,,,,,,등록,7,0,0,0,0,6,"9,912,509",4,"4,382,218"
44,기아 모하비 3.0 디젤 4WD KV300 최고급형,차량번호 69라6191,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167575&gubun=K,2009.06,"169,945 km",디젤,"2,959 cc (250마력)",검정색,만료,999만원,21,,,,,,,,,,,등록,3,0,0,0,0,5,"3,886,853",0,0
45,현대 그랜저IG 3.0 익스클루시브 스페셜,차량번호 06우8584,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181355&gubun=K,2017.01,"11,211 km",가솔린,"2,999 cc (266마력)",검정색,만료,"2,580만원",66,1,1,0,1,1,1,0,1,1,1,등록,2,0,0,0,0,2,"13,971,812",3,"8,227,302"
46,기아 셀토스 1.6 가솔린 터보 2WD 노블레스,차량번호 160버5451,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182125&gubun=K,2020.07,"11,850 km",가솔린,"1,591 cc (177마력)",진청색,"60개월 / 100,000km","2,080만원",83,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,0,0,0,0
47,현대 그랜저HG 240 모던,차량번호 15오4207,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182127&gubun=K,2015.01,"124,285 km",가솔린,"2,359 cc (190마력)",검정색,만료,"1,099만원",36,1,0,1,1,1,1,0,1,0,1,등록,3,0,0,0,0,5,"4,811,064",1,"5,530,899"
48,현대 아반떼AD 1.6 스타일,차량번호 234구2145,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182120&gubun=K,2015.09 (16년형),"126,499 km",가솔린,"1,591 cc (132마력)",흰색,만료,670만원,47,0,0,0,0,1,1,0,0,0,0,등록,2,0,0,0,0,2,"785,238",0,0
49,현대 쏘나타 2.0 프리미엄,차량번호 263보9289,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182121&gubun=K,2019.07 (20년형),"79,898 km",가솔린,"1,999 cc (160마력)",검정색,"60개월 / 100,000km","1,699만원",64,0,0,1,1,0,1,0,1,0,1,등록,3,0,0,0,0,1,"3,199,117",3,"3,492,954"
50,현대 코나 1.6 가솔린 터보 2WD 모던 아트,차량번호 310다5779,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182064&gubun=K,2018.10,"84,441 km",가솔린,"1,591 cc (177마력)",검정색,"60개월 / 100,000km","1,680만원",76,0,0,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,3,"1,471,082",2,"1,212,385"
51,제네시스 G70 2.2 디젤 어드밴스드,차량번호 181주1167,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181742&gubun=K,2018.02,"93,512 km",디젤,"2,199 cc (202마력)",검정색,"60개월 / 100,000km","1,899만원",47,0,0,1,1,1,1,0,1,0,1,등록,3,0,0,0,0,3,"3,273,126",5,"1,478,367"
52,기아 K5 2.0 시그니처,차량번호 363누1750,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181752&gubun=K,2020.01,"40,817 km",가솔린,"1,999 cc (160마력)",진회색,"60개월 / 100,000km","2,470만원",80,,,,,,,,,,,등록,,,,,,,,,
53,쌍용 G4 렉스턴 2.2 디젤 4WD 5인승 럭셔리,차량번호 213저8648,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181749&gubun=K,2018.10 (19년형),"150,024 km",디젤,"2,157 cc (187마력)",은색,정보없음,"1,499만원",42,,,,,,,,,,,등록,1,0,0,0,0,0,0,2,"1,557,207"
54,쌍용 티볼리 1.6 디젤 2WD TX,차량번호 108어3917,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181748&gubun=K,2016.06,"153,351 km",디젤,"1,597 cc (115마력)",검정색,만료,670만원,33,,,,,,,,,,,등록,3,0,0,0,0,1,"3,457,210",0,0
55,르노삼성 SM6 2.0 SE,차량번호 126조7600,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181232&gubun=K,2017.05,"133,543 km",가솔린,"1,997 cc (150마력)",회색,만료,699만원,26,0,0,0,0,1,1,1,1,0,0,등록,4,0,0,0,0,1,"823,330",4,"9,007,816"
56,현대 아반떼AD 1.6 LPi 스마트,차량번호 149수4958,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181766&gubun=K,2017.05 (18년형),"122,606 km",LPG,"1,591 cc (120마력)",흰색,만료,980만원,53,,,,,,,,,,,등록,1,0,0,0,0,1,"287,019",1,"795,008"
57,현대 더 뉴 아반떼AD 1.6 스마트,차량번호 344라4587,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181630&gubun=K,2019.04,"46,287 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","1,350만원",75,0,0,1,0,0,1,0,1,0,1,등록,2,0,0,0,0,1,"1,416,268",0,0
58,현대 더 뉴 아반떼AD 1.6  스마트,차량번호 128노3682,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181629&gubun=K,2018.11 (19년형),"131,154 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km",950만원,52,0,0,1,0,0,1,0,1,0,0,등록,2,0,0,0,0,4,"6,134,118",11,"16,574,372"
59,쉐보레 캡티바 2.0 디젤 2WD LTZ,차량번호 41나2391,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181420&gubun=K,2018.04,"86,475 km",디젤,"1,956 cc (170마력)",흰색,"60개월 / 100,000km","1,299만원",38,1,0,1,1,0,1,0,1,0,0,등록,3,1,0,0,0,3,"21,642,000",0,0
60,기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,차량번호 33누3950,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181409&gubun=K,2015.02,"185,599 km",디젤,"2,199 cc (202마력)",흰색,만료,"1,280만원",39,0,0,0,1,1,1,0,1,0,1,등록,3,1,0,0,0,5,"15,759,030",3,"2,381,521"
61,현대 그랜저IG 3.0 LPi  모던 베이직,차량번호 160버5436,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181405&gubun=K,2019.09,"80,563 km",LPG,"2,999 cc (235마력)",진회색,"60개월 / 100,000km","1,770만원",67,,,,,,,,,,,등록,2,0,0,0,0,2,"3,855,494",0,0
62,쌍용 티볼리 아머 1.6 가솔린 2WD  VX,차량번호 08수1746,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181254&gubun=K,2018.07,"84,080 km",LPG,"1,597 cc (126마력)",흰색,"60개월 / 100,000km","1,099만원",54,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,1,"3,164,900",0,0
63,기아 올 뉴 카니발 2.2 디젤 9인승 럭셔리,차량번호 55마4949,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181247&gubun=K,2014.07 (15년형),"193,307 km",디젤,"2,199 cc (202마력)",검정색,만료,"1,150만원",38,0,0,0,1,0,1,0,1,0,0,등록,3,0,0,0,0,0,0,0,0
64,제네시스 G70 3.3 터보 AWD 스포츠 프레스티지,차량번호 27머0616,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181220&gubun=K,2019.04,"55,618 km",가솔린,"3,342 cc (370마력)",회색,"60개월 / 100,000km","2,399만원",43,1,0,1,1,1,1,1,1,1,1,등록,1,0,0,0,0,11,"40,050,055",7,"7,401,943"
65,기아 셀토스 1.6 디젤 2WD 트렌디,차량번호 352구2185,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181235&gubun=K,2019.08 (20년형),"89,025 km",디젤,"1,598 cc (136마력)",검정색,"60개월 / 100,000km","1,499만원",69,0,0,1,0,0,1,0,1,0,0,등록,2,0,0,0,0,5,"6,157,056",2,"3,170,000"
66,현대 그랜저HG 240 모던,차량번호 46부1307,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181041&gubun=K,2014.04,"204,389 km",가솔린,"2,359 cc (201마력)",검정색,만료,650만원,21,0,1,0,0,0,0,0,0,0,1,등록,4,0,0,0,0,4,"7,728,973",2,"2,514,611"
67,기아 K7 프리미어 2.5 X 에디션,차량번호 342저8436,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181035&gubun=K,2020.05,"60,314 km",가솔린,"2,497 cc (198마력)",검정색,"60개월 / 100,000km","2,670만원",75,,,,,,,,,,,등록,,,,,,,,,
68,쉐보레 트레일블레이저 1.3 터보 AWD RS,차량번호 207러7852,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181229&gubun=K,2022.02,520 km,가솔린,"1,341 cc (156마력)",흰색,"60개월 / 100,000km","2,280만원",85,,,,,,,,,,,등록,1,1,0,0,0,1,"26,560,536",2,"7,780,796"
69,쌍용 코란도 투리스모 2.2 디젤 4WD 아웃도어 에디션 9인승,차량번호 41우0846,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180986&gubun=K,2015.12,"135,659 km",디젤,"2,157 cc (178마력)",검정색,만료,899만원,27,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
70,쉐보레 트레일블레이저 1.3 터보 AWD RS,차량번호 103너5244,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181222&gubun=K,2020.11 (21년형),"37,723 km",가솔린,"1,341 cc (156마력)",흰색,"60개월 / 100,000km","1,999만원",75,,,,,,,,,,,등록,1,0,0,0,0,1,"4,104,200",0,0
71,쌍용 G4 렉스턴 2.2 디젤 2WD 5인승 프라임,차량번호 176다6727,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180933&gubun=K,2017.06 (18년형),"58,918 km",디젤,"2,157 cc (187마력)",진회색,만료,"2,050만원",56,,,,,,,,,,,등록,5,0,0,0,0,0,0,1,"461,073"
72,현대 아반떼AD 1.6 디젤 스마트 스페셜,차량번호 170마1749,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180438&gubun=K,2017.02,"119,563 km",디젤,"1,582 cc (136마력)",흰색,만료,799만원,37,0,0,1,0,0,1,0,1,0,0,등록,2,0,0,0,0,2,"3,033,079",2,"5,370,683"
73,현대 아반떼AD 1.6 디젤 스타일,차량번호 107로9193,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180401&gubun=K,2017.08 (18년형),"121,408 km",디젤,"1,582 cc ()",흰색,만료,670만원,40,,,,,,,,,,,등록,4,0,0,0,0,2,"10,556,400",1,"347,639"
74,제네시스 G70 2.2 디젤 슈프림,차량번호 374수4851,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180292&gubun=K,2017.12 (18년형),"107,203 km",디젤,"2,199 cc (202마력)",검정색,"60개월 / 100,000km","2,199만원",51,1,0,1,1,1,1,1,1,0,1,등록,5,0,0,0,0,5,"7,765,244",5,"2,439,711"
75,제네시스 EQ900 3.8 AWD 럭셔리,차량번호 33누0888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180293&gubun=K,2016.05,"176,071 km",가솔린,"3,778 cc (315마력)",검정색,만료,"1,899만원",25,0,0,0,1,1,1,0,1,1,1,등록,4,0,0,0,0,11,"25,797,659",5,"7,937,530"
76,쌍용 더 뉴 렉스턴 스포츠  2.2 디젤 4WD 와일드,차량번호 815오7745,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180287&gubun=K,2022.02,950 km,디젤,"2,157 cc (181마력)",진회색,"60개월 / 100,000km","2,280만원",81,,,,,,,,,,,등록,1,1,0,0,0,1,"29,440,000",1,"12,919,240"
77,쌍용 G4 렉스턴 2.2 디젤 2WD 5인승  마제스티,차량번호 303버6133,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180284&gubun=K,2018.02,"98,840 km",디젤,"2,157 cc (187마력)",진청색,"60개월 / 100,000km","1,850만원",46,,,,,,,,,,,등록,2,0,0,0,0,2,"944,608",0,0
78,현대 더 뉴 아반떼AD 1.6 스타일,차량번호 09수4885,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180276&gubun=K,2018.11 (19년형),"39,708 km",가솔린,"1,598 cc (123마력)",진회색,"60개월 / 100,000km","1,280만원",74,0,0,1,0,1,1,0,1,0,1,등록,1,0,0,0,0,1,"7,029,819",1,"4,410,000"
79,쌍용 티볼리 1.6 가솔린 2WD LX 고급형,차량번호 34무0878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180263&gubun=K,2015.10,"138,405 km",가솔린,"1,597 cc (126마력)",진청색,만료,799만원,35,0,0,0,1,0,1,0,1,0,0,등록,3,0,0,0,0,1,"710,180",4,"4,518,373"
